School Management Committee
MANAGEMENT COMMITTEE
NAME	DESIGNATION
SHRI SUDARSHAN KUMAR BIRLA	PRESIDENT
SHRI SIDHARTH BIRLA	VICE PRESIDENT
SHRI GIRISH KUMAR KHAITAN	MEMBER
SHRI PAVAN KUMAR PODDAR	MEMBER
SHRI SOURAV GHOSH	MEMBER
SHRI VINOD AGRAWAL [EX-OFFICIO]	SECRETARY GENERAL
SMT. SHARMILA BOSE	EDUCATIONIST
SMT. SANGEETA TANDON [EX-OFFICIO], PRINCIPAL	SECRETARY
SMT. SHWETA AGARWAL	GUARDIAN'S REPRESENTATIVE
SHRI ALOK KUMAR	GUARDIAN'S REPRESENTATIVE
SMT. SALEHA KHAN	TEACHERS' REPRESENTATIVE
SMT. MOUSHUMI SARKAR	TEACHERS' REPRESENTATIVE
